"formal";"informal"
"0";0,096574128765505;0,0880843902639248
"1";0,074695806261075;0,0844860375706331
"2";0,0801890135853515;0,0725827415890216
"3";0,0706202008269344;0,0562601759498693
"4";0,0524748966331955;0,0390756474982556
"5";0,0639692852923804;0,056137038405232
"6";0,0418192557590077;0,0277743572904267
"7";0,0318606024808033;0,0200166919782731
"8";0,0406615475487301;0,0263924804006075
"9";0,0164087418783225;0,00818180574368236
"10";0,0762315416420555;0,0712829563956272
"11";0,0139751919669226;0,00548646171106459
"12";0,0264028352037803;0,0150775082433745
"13";0,0119314825753101;0,00641683427054687
"14";0,0111399881866509;0,00625265087769705
"15";0,0460011813349084;0,0399923381083337
"16";0,00987595983461311;0,00593796604140158
"17";0,00900177200236267;0,00514441297596081
"18";0,0136326048434731;0,00883853931508161
"19";0,00548139397519197;0,00294161912189249
"20";0,0600354400472534;0,0704073116337616
"21";0,00622563496751329;0,00302371081831739
"22";0,00844654459539279;0,00529491441940648
"23";0,00624926166568222;0,00411826677064948
"24";0,00484347312463083;0,00354362489567514
"25";0,024087418783225;0,0240802309513059
"26";0,00439456585942115;0,0037214902379291
"27";0,00414648552864737;0,00324262200878381
"28";0,00506792675723568;0,00502127543132345
"29";0,00271707028942705;0,00213438410704757
"30";0,03314825753101;0,0556581701760867
"31";0,00185469580626108;0,00146396858624417
"32";0,00335499113998819;0,0037762180355457
"33";0,00270525694034259;0,00238065919632229
"34";0,00189013585351447;0,00258588843738456
"35";0,0080330773774365;0,0143523649249545
"36";0,00166568222090963;0,00264061623500116
"37";0,00124040165386887;0,00205229241062267
"38";0,00180744240992321;0,00381726388375816
"39";0,0006497341996456;0,00131346714279851
"40";0,0127466036621382;0,0422909056082311
"41";0,000236266981689309;0,00138187688981926
"42";0,000886001181334908;0,00288689132427588
"43";0,000472533963378618;0,00229856749989739
"44";0,000200826934435913;0,00177865342253964
"45";0,00250443000590667;0,0105214190917922
"46";0,000236266981689309;0,001901790967177
"47";0,00038984051978736;0,0018196992707521
"48";0,000378027170702894;0,0030510747171257
"49";0,000141760189013585;0,00121769349696945
"50";0,00365032486709982;0,0263924804006075
"51";0,000141760189013585;0,00134083104160681
"52";0,000212640283520378;0,00202492851181436
"53";0,000189013585351447;0,00165551587790228
"54";0,000141760189013585;0,00165551587790228
"55";0,000354400472533963;0,00525386857119402
"56";0,000118133490844654;0,00149133248505247
"57";4,72533963378618e-05;0,000998782306503031
"58";0,000118133490844654;0,00158710613088153
"59";3,54400472533963e-05;0,000861962812461519
"60";0,000921441228588305;0,0121222071720779
"61";4,72533963378618e-05;0,000643051621995102
"62";4,72533963378618e-05;0,0012313754463736
"63";2,36266981689309e-05;0,000848280863057368
"64";1,18133490844654e-05;0,000834598913653217
"65";4,72533963378618e-05;0,00279111767844683
"66";1,18133490844654e-05;0,000752507217228311
"67";0;0,000560959925570195
"68";1,18133490844654e-05;0,000643051621995102
"69";0;0,000301002886891324
"70";0,000118133490844654;0,00350257904746268
"71";2,36266981689309e-05;0,000150501443445662
"72";1,18133490844654e-05;0,000314684836295475
"73";0;0,000218911190466418
"74";0;0,000273638988083022
"75";1,18133490844654e-05;0,000643051621995102
"76";0;0,000150501443445662
"77";0;9,57736458290577e-05
"78";0;0,000136819494041511
"79";0;6,84097470207555e-05
"80";0;0,000164183392849813
"81";0;2,73638988083022e-05
"82";0;2,73638988083022e-05
"83";0;2,73638988083022e-05
"85";0;2,73638988083022e-05
"86";0;1,36819494041511e-05
"90";0;2,73638988083022e-05
